ID,Nucleus,Z,A,Emin,Emax,Reaction,Method,Reference,Author,Validation,NR_flag,Datafile,Comments
5,141Pr,59,144,2,8,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,Data not present
23,165Ho,67,165,2,8,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,Data not present
29,181Ta,73,181,2,8,,Evaporation,"K. Tsukada et al, NP 78 369(1966)",Maruyama,,,,Data not present
30,181W,74,181,0,8,,Evaporation,"M.I. Svirin PAN 37, 475 (2006) [data from other papers in obscure russian journals]",,,1,,Data not present
31,184Re,75,184,7,13,,Evaporation,S.M. Grimes PRC 6 236 (1972),Grimes,,,,25% errors reported
37,197Au,79,197,2,8,,Evaporation,"K. Tsukada et al, NP 78 369(1966)",Maruyama,,,,Data not present + paper not uploaded
38,197Hg,80,197,7,11,,Evaporation,S.M. Grimes PRC 6 236 (1972),Grimes,,1,,
40,200Tl,81,200,8,14,,Evaporation,S.M. Grimes PRC 6 236 (1972),Grimes,,,,
41,204Pb,82,204,0,4,,Evaporation,"A. Wallner et al. PRC 51, 614 (1995)",,,,,Element was labeled wrong. Uncertainty in paper given between 20-50%. Took 20% to keep consistency (evaporation method)
43,206Pb,82,206,0,6,,Evaporation,"A. Wallner et al. PRC 51, 614 (1995)",,,,,Element was labeled wrong. Uncertainty in paper given between 20-50%. Took 20% to keep consistency (evaporation method)
45,207Pb,82,207,0,6,,Evaporation,"A. Wallner et al. PRC 51, 614 (1995)",,,,,Element was labeled wrong. Uncertainty in paper given between 20-50%. Took 20% to keep consistency (evaporation method)
47,208Pb,82,208,0,6,,Evaporation,"A. Wallner et al. PRC 51, 614 (1995)",,,,,Element was labeled wrong. Uncertainty in paper given between 20-50%. Took 20% to keep consistency (evaporation method)
50,209Po,84,209,0,6,,Evaporation,"A. Wallner et al. PRC 51, 614 (1995)",,,,,Uncertainty in paper given between 20-50%. Took 20% to keep consistency (evaporation method)
51,209Po,84,209,8,12,,Evaporation,S.M. Grimes PRC 6 236 (1972),Grimes,,,,25% errors reported
64,96Tc,,,,,,Evaporation,"B.V. Zhuravlev et al, BRASP, 63 5 764(1999) [BRASP = Bulletin of the Russian Society of Physics]",,,,,
65,118Sb,65,118,,,,Evaporation,"B.V. Zhuravlev et al, BRASP, 63 5 764(1999) [BRASP = Bulletin of the Russian Society of Physics]",,,,,
66,Ni,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
67,Cu,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
68,Br,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
69,Sr,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
70,Nb,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
71,Sn,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
72,Sb,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
73,In,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
74,Ba,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
75,La,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
76,Ce,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
77,Bi,,,,,,Evaporation,M. Maruyama. NP A131 145(1969),Maruyama,,,,
78,Ag,,,,,,Evaporation,"K. Tsukada et al, NP 78 369(1966)",Maruyama,,,,
